Manufacturer,PartNumber,Type,InnerDiameter,OuterDiameter,Length
Semroc,BT-60J,BodyTube,0.040513,0.04158,0.06985
Semroc,BT-60K,BodyTube,0.040513,0.04158,0.1778
Semroc,BT-60KC,BodyTube,0.040513,0.04158,0.32614
Semroc,BT-60KF,BodyTube,0.040513,0.04158,0.40894
Semroc,BT-60P,BodyTube,0.040513,0.04158,0.4064
Semroc,BT-60R,BodyTube,0.040513,0.04158,0.127
Semroc,BT-60RB,BodyTube,0.040513,0.04158,0.08255
Semroc,BT-60V,BodyTube,0.040513,0.04158,0.10947
Semroc,BT-60XW,BodyTube,0.040513,0.04158,0.0762
Semroc,BT-70,BodyTube,0.055245,0.056312,0.4572
Semroc,BT-70BD,BodyTube,0.055245,0.056312,0.38735
Semroc,BT-70H,BodyTube,0.055245,0.056312,0.18161
Semroc,BT-70KD,BodyTube,0.055245,0.056312,0.4445
Semroc,RT-70,BodyTube,0.055245,0.056312,0.01727
Semroc,BT-70V,BodyTube,0.055245,0.056312,0.26924
Semroc,BT-80,BodyTube,0.064973,0.06604,0.4572
Semroc,BT-80-76,BodyTube,0.064973,0.06604,0.19304
Semroc,BT-80-93,BodyTube,0.064973,0.06604,0.23622
Semroc,BT-80A,BodyTube,0.064973,0.06604,0.2286
Semroc,BT-80KD,BodyTube,0.064973,0.06604,0.36068
Semroc,BT-80MA,BodyTube,0.064973,0.06604,0.08179
Semroc,BT-80OP,BodyTube,0.064973,0.06604,0.2794
Semroc,BT-80R,BodyTube,0.064973,0.06604,0.05588
Semroc,BT-80S,BodyTube,0.064973,0.06604,0.1143
Semroc,BT-80SV,BodyTube,0.064973,0.06604,0.22377
Semroc,BT-80WH,BodyTube,0.064973,0.06604,0.2032
Semroc,RT-99D,BodyTube,0.093167,0.09398,0.00993
Semroc,BT-100CE,BodyTube,0.094031,0.095098,0.0889
Semroc,BT-100D,BodyTube,0.094031,0.095098,0.10389
Semroc,BT-100Z,BodyTube,0.094031,0.095098,0.27686
Semroc,BT-101,BodyTube,0.098958,0.100025,0.4191
Semroc,BT-101A,BodyTube,0.098958,0.100025,0.0254
Semroc,BT-101K,BodyTube,0.098958,0.100025,0.19279
Semroc,BT-101KJ,BodyTube,0.098958,0.100025,0.2667
Semroc,BT-101LA,BodyTube,0.098958,0.100025,0.54356
Semroc,BT-101SV,BodyTube,0.098958,0.100025,0.62548
Semroc,BT-101T,BodyTube,0.098958,0.100025,0.07061
Semroc,BTH-70-88,BodyTube,0.055245,0.057074,0.22352
Semroc,BTH-70-120,BodyTube,0.055245,0.057074,0.3048
Semroc,BTH-70-172,BodyTube,0.055245,0.057074,0.43688
Semroc,BTH-70-180,BodyTube,0.055245,0.057074,0.4572
Semroc,BTH-70-280,BodyTube,0.055245,0.057074,0.7112
Semroc,BTH-70-286,BodyTube,0.055245,0.057074,0.72644
Semroc,BTH-70-300,BodyTube,0.055245,0.057074,0.762
Semroc,BTH-80-80,BodyTube,0.064973,0.067056,0.2032
Semroc,BTH-80-100,BodyTube,0.064973,0.067056,0.254
Semroc,BTH-80-115,BodyTube,0.064973,0.067056,0.2921
Semroc,BTH-80-119S3,BodyTube,0.064973,0.067056,0.30226
Semroc,BTH-80-120,BodyTube,0.064973,0.067056,0.3048
Semroc,BTH-80-185S4,BodyTube,0.064973,0.067056,0.4699
Semroc,BTH-80-220,BodyTube,0.064973,0.067056,0.5588
Semroc,BTH-80-300,BodyTube,0.064973,0.067056,0.762
Semroc,ST-220,BodyTube,0.005944,0.006604,0.0508
Semroc,ST-2180,BodyTube,0.005944,0.006604,0.4572
Semroc,ST-515,BodyTube,0.013081,0.013792,0.0381
Semroc,ST-520,BodyTube,0.013081,0.013792,0.0508
Semroc,ST-520E,BodyTube,0.013081,0.013792,0.0508
Semroc,ST-525,BodyTube,0.013081,0.013792,0.0635
Semroc,ST-530,BodyTube,0.013081,0.013792,0.0762
Semroc,ST-540,BodyTube,0.013081,0.013792,0.1016
Semroc,ST-545,BodyTube,0.013081,0.013792,0.1143
Semroc,ST-560,BodyTube,0.013081,0.013792,0.1524
Semroc,ST-560S,BodyTube,0.013081,0.013792,0.1524
Semroc,ST-580,BodyTube,0.013081,0.013792,0.2032
Semroc,ST-590,BodyTube,0.013081,0.013792,0.2286
Semroc,ST-5120,BodyTube,0.013081,0.013792,0.3048
Semroc,ST-5180,BodyTube,0.013081,0.013792,0.4572
Semroc,ST-660,BodyTube,0.015494,0.01651,0.1524
Semroc,ST-690,BodyTube,0.015494,0.01651,0.2286
Semroc,ST-6120,BodyTube,0.015494,0.01651,0.3048
Semroc,ST-6180,BodyTube,0.015494,0.01651,0.4572
Semroc,ST-703,BodyTube,0.018161,0.019279,0.00635
Semroc,ST-720,BodyTube,0.018161,0.019279,0.0508
Semroc,ST-720H,BodyTube,0.018161,0.019279,0.0508
Semroc,ST-720X,BodyTube,0.018161,0.019279,0.0508
Semroc,ST-722,BodyTube,0.018161,0.019279,0.05588
Semroc,ST-723,BodyTube,0.018161,0.019279,0.05715
Semroc,ST-725,BodyTube,0.018161,0.019279,0.0635
Semroc,ST-728,BodyTube,0.018161,0.019279,0.06985
Semroc,ST-730,BodyTube,0.018161,0.019279,0.0762
Semroc,ST-730E,BodyTube,0.018161,0.019279,0.0762
Semroc,ST-740,BodyTube,0.018161,0.019279,0.1016
Semroc,ST-749,BodyTube,0.018161,0.019279,0.12446
Semroc,ST-750P,BodyTube,0.018161,0.019279,0.127
Semroc,ST-753,BodyTube,0.018161,0.019279,0.13335
Semroc,ST-755,BodyTube,0.018161,0.019279,0.1397
Semroc,ST-758,BodyTube,0.018161,0.019279,0.14605
Semroc,ST-760,BodyTube,0.018161,0.019279,0.1524
Semroc,ST-765,BodyTube,0.018161,0.019279,0.1651
Semroc,ST-770,BodyTube,0.018161,0.019279,0.1778
Semroc,ST-790,BodyTube,0.018161,0.019279,0.2286
Semroc,ST-7100,BodyTube,0.018161,0.019279,0.254
Semroc,ST-7120,BodyTube,0.018161,0.019279,0.3048
Semroc,ST-7180,BodyTube,0.018161,0.019279,0.4572
Semroc,ST-820,BodyTube,0.021971,0.023063,0.0508
Semroc,ST-823,BodyTube,0.021971,0.023063,0.05715
Semroc,ST-825,BodyTube,0.021971,0.023063,0.0635
Semroc,ST-830,BodyTube,0.021971,0.023063,0.0762
Semroc,ST-845,BodyTube,0.021971,0.023063,0.1143
Semroc,ST-855,BodyTube,0.021971,0.023063,0.1397
Semroc,ST-857,BodyTube,0.021971,0.023063,0.14478
Semroc,ST-860,BodyTube,0.021971,0.023063,0.1524
Semroc,ST-873,BodyTube,0.021971,0.023063,0.18542
Semroc,ST-880,BodyTube,0.021971,0.023063,0.2032
Semroc,ST-890,BodyTube,0.021971,0.023063,0.2286
Semroc,ST-8100,BodyTube,0.021971,0.023063,0.254
Semroc,ST-8103,BodyTube,0.021971,0.023063,0.26162
Semroc,ST-8105,BodyTube,0.021971,0.023063,0.2667
Semroc,ST-8113,BodyTube,0.021971,0.023063,0.28702
Semroc,ST-8120,BodyTube,0.021971,0.023063,0.3048
Semroc,ST-8130,BodyTube,0.021971,0.023063,0.3302
Semroc,ST-8150,BodyTube,0.021971,0.023063,0.381
Semroc,ST-8157,BodyTube,0.021971,0.023063,0.40005
Semroc,ST-8180,BodyTube,0.021971,0.023063,0.4572
Semroc,ST-8F28,BodyTube,0.022479,0.023393,0.06985
Semroc,ST-8F33,BodyTube,0.022479,0.023393,0.08255
Semroc,ST-8F40,BodyTube,0.022479,0.023393,0.1016
Semroc,ST-8F60,BodyTube,0.022479,0.023393,0.1524
Semroc,ST-8F80,BodyTube,0.022479,0.023393,0.2032
Semroc,ST-8F90,BodyTube,0.022479,0.023393,0.2286
Semroc,ST-8F90M,BodyTube,0.022479,0.023393,0.2286
Semroc,ST-8F120,BodyTube,0.022479,0.023393,0.3048
Semroc,ST-8F180,BodyTube,0.022479,0.023393,0.4572
