Manufacturer,PartNo,Description,Type,ForeShoulderLength,ForeShoulderDiameter,ForeOuterDiameter,Length,OuterDiameter,ShoulderLength,ShoulderDiameter,Filled,Material,Mass,Shape
Semroc,TA-5055,Balsa Reducer BT-50 to BT-55,TRANSITION,0.0127,0.02413,0.0247904,0.0254,0.033655,0.0127,0.0325882,1,Balsa,0.01701,cone
Semroc,TA-5055 [R],Balsa Reducer BT-50 to BT-55 – Reversed,TRANSITION,0.0127,0.0325882,0.033655,0.0254,0.0247904,0.0127,0.02413,1,Balsa,0.01701,cone
Semroc,TA-5055L,Balsa Reducer BT-50 to BT-55,TRANSITION,0.0127,0.02413,0.0247904,0.0381,0.033655,0.0127,0.0325882,1,Balsa,0.0201285,cone
Semroc,TA-5055L [R],Balsa Reducer BT-50 to BT-55 – Reversed,TRANSITION,0.0127,0.0325882,0.033655,0.0381,0.0247904,0.0127,0.02413,1,Balsa,0.0201285,cone
Semroc,TA-5060,Balsa Reducer BT-50 to BT-60,TRANSITION,0.0127,0.02413,0.0247904,0.0508,0.0415798,0.0127,0.040513,1,Balsa,0.0065205,cone
Semroc,TA-5060 [R],Balsa Reducer BT-50 to BT-60 – Reversed,TRANSITION,0.0127,0.040513,0.0415798,0.0508,0.0247904,0.0127,0.02413,1,Balsa,0.0065205,cone
Semroc,TA-5060C,Balsa Reducer BT-50 to BT-60,TRANSITION,0.0127,0.02413,0.0247904,0.0127,0.0415798,0.0127,0.040513,1,Balsa,0.003969,cone
Semroc,TA-5060C [R],Balsa Reducer BT-50 to BT-60 – Reversed,TRANSITION,0.0127,0.040513,0.0415798,0.0127,0.0247904,0.0127,0.02413,1,Balsa,0.003969,cone
Semroc,TA-5060E,Balsa Reducer BT-50 to BT-60,TRANSITION,0.0127,0.02413,0.0247904,0.0508,0.0415798,0.0127,0.040513,1,Balsa,0.0059535,elliptical
Semroc,TA-5060E [R],Balsa Reducer BT-50 to BT-60 – Reversed,TRANSITION,0.0127,0.040513,0.0415798,0.0508,0.0247904,0.0127,0.02413,1,Balsa,0.0059535,elliptical
Semroc,TA-5065,Balsa Reducer BT-50 to BT-65,TRANSITION,0.0127,0.02413,0.0247904,0.0508,0.0456184,0.0127,0.04445,1,Balsa,0.007371,cone
Semroc,TA-5065 [R],Balsa Reducer BT-50 to BT-65 – Reversed,TRANSITION,0.0127,0.04445,0.0456184,0.0508,0.0247904,0.0127,0.02413,1,Balsa,0.007371,cone
Semroc,TA-520,Balsa Reducer BT-5 to BT-20,TRANSITION,0.0127,0.013081,0.0137414,0.01905,0.0186944,0.0127,0.018034,1,Balsa,0.001134,cone
Semroc,TA-520 [R],Balsa Reducer BT-5 to BT-20 – Reversed,TRANSITION,0.0127,0.018034,0.0186944,0.01905,0.0137414,0.0127,0.013081,1,Balsa,0.001134,cone
Semroc,TA-5260A,Balsa Reducer BT-52 to BT-60,TRANSITION,0.0127,0.0250952,0.0257556,0.0254,0.0415798,0.0127,0.040513,1,Balsa,0.0065205,cone
Semroc,TA-5260A [R],Balsa Reducer BT-52 to BT-60 – Reversed,TRANSITION,0.0127,0.040513,0.0415798,0.0254,0.0257556,0.0127,0.0250952,1,Balsa,0.0065205,cone
Semroc,TA-5260C,Balsa Reducer BT-52 to BT-60,TRANSITION,0.0127,0.0250952,0.0257556,0.09652,0.0415798,0.0127,0.040513,1,Balsa,0.0093555,cone
Semroc,TA-5260C [R],Balsa Reducer BT-52 to BT-60 – Reversed,TRANSITION,0.0127,0.040513,0.0415798,0.09652,0.0257556,0.0127,0.0250952,1,Balsa,0.0093555,cone
Semroc,TA-550,Balsa Reducer BT-5 to BT-50,TRANSITION,0.0127,0.013081,0.0137414,0.0254,0.0247904,0.0127,0.02413,1,Balsa,0.001701,cone
Semroc,TA-550 [R],Balsa Reducer BT-5 to BT-50 – Reversed,TRANSITION,0.0127,0.02413,0.0247904,0.0254,0.0137414,0.0127,0.013081,1,Balsa,0.001701,cone
Semroc,TA-5560,Balsa Reducer BT-55 to BT-60,TRANSITION,0.0127,0.0325882,0.033655,0.0254,0.0415798,0.0127,0.040513,1,Balsa,0.0070875,cone
Semroc,TA-5560 [R],Balsa Reducer BT-55 to BT-60 – Reversed,TRANSITION,0.0127,0.040513,0.0415798,0.0254,0.033655,0.0127,0.0325882,1,Balsa,0.0070875,cone
Semroc,TA-5560A,Balsa Reducer BT-55 to BT-60,TRANSITION,0.0127,0.0325882,0.033655,0.03175,0.0415798,0.0127,0.040513,1,Balsa,0.0082215,cone
Semroc,TA-5560A [R],Balsa Reducer BT-55 to BT-60 – Reversed,TRANSITION,0.0127,0.040513,0.0415798,0.03175,0.033655,0.0127,0.0325882,1,Balsa,0.0082215,cone
Semroc,TA-5565,Balsa Reducer BT-55 to BT-65,TRANSITION,0.0127,0.0325882,0.033655,0.0381,0.0456184,0.0127,0.04445,1,Balsa,0.010773,cone
Semroc,TA-5565 [R],Balsa Reducer BT-55 to BT-65 – Reversed,TRANSITION,0.0127,0.04445,0.0456184,0.0381,0.033655,0.0127,0.0325882,1,Balsa,0.010773,cone
Semroc,TA-6065,Balsa Reducer BT-60 to BT-65,TRANSITION,0.0127,0.040513,0.0415798,0.0127,0.0456184,0.0127,0.04445,1,Balsa,0.0065205,cone
Semroc,TA-6065 [R],Balsa Reducer BT-60 to BT-65 – Reversed,TRANSITION,0.0127,0.04445,0.0456184,0.0127,0.0415798,0.0127,0.040513,1,Balsa,0.0065205,cone
Semroc,TA-6070,Balsa Reducer BT-60 to BT-70,TRANSITION,0.0127,0.040513,0.0415798,0.0381,0.0563118,0.0127,0.055245,1,Balsa,0.0184275,cone
Semroc,TA-6070 [R],Balsa Reducer BT-60 to BT-70 – Reversed,TRANSITION,0.0127,0.055245,0.0563118,0.0381,0.0415798,0.0127,0.040513,1,Balsa,0.0184275,cone
Semroc,TA-6080,Balsa Reducer BT-60 to BT-80,TRANSITION,0.0127,0.040513,0.0415798,0.0381,0.06604,0.0127,0.0649732,1,Balsa,0.0184275,cone
Semroc,TA-6080 [R],Balsa Reducer BT-60 to BT-80 – Reversed,TRANSITION,0.0127,0.0649732,0.06604,0.0381,0.0415798,0.0127,0.040513,1,Balsa,0.0184275,cone
Semroc,TA-7080,Balsa Reducer BT-70 to BT-80,TRANSITION,0.0127,0.055245,0.0563118,0.0381,0.06604,0.0127,0.0649732,1,Balsa,0.0184275,cone
Semroc,TA-7080 [R],Balsa Reducer BT-70 to BT-80 – Reversed,TRANSITION,0.0127,0.0649732,0.06604,0.0381,0.0563118,0.0127,0.055245,1,Balsa,0.0184275,cone
